
Unknown;
Machine;\\7icost19\c\handler\log\console\Events;
Summary of time consumption;;;
Cycle Count;1831295;;
Batch Count;327;;
Jam Count;142;;
Assist Count;285;;
Changeover;26;;
Startups;41;;
;;;
Productive Time;05.04:12:59;;
Standby Time;11.01:10:20;;
;;;
UP Time;16.05:23:19;;
;;;
Jam Time;03.01:11:05;;
Assist Time;06:43:40;;
Changeover Time;19:27:07;;
Startup Time;01.04:51:31;;
Maintenance Time;03.11:28:33;;
;;;
Down Time;08.19:41:56;;
Operations Time;25.01:05:15;;
;;;
Analysis Start Time;10/30/20 2:25:00 PM;;
Analysis End Time;11/24/20 3:50:15 PM;;
Total Time;25.01:25:15;;
Equipment Indicators;;;;
Reliability;Failure Rate;02:44:31;;
;MTBF;00:52:29;;
;MCBF;12896;;
;Assist Rate;01:21:58;;
;MTBA;00:26:09;;
;MCBA;6425;;
Availability;Operational uptime;64%;;
Maintainability;MTTR;00:30:55;;
;MTTA;00:01:24;;
Operational utilization;Utilization;20%;;
;Total utilization;20%;;
Throughput;cycles/productive time;14742;;
Batch Profile;;;;;;;;;;;;;;;;;;;;
Batch Name;ID;Status;Pass Lane;End Time;Total Time;Productive ;Total ;X1;X2;X3;X5;X8;Left ;Right ;Abort ;Gross UPH;Net UPH;Yield;
;;;;;;Time ;Count ;;;;;;Taper ;Taper ;Count 
QFN 6X6 IS5 CTD_2;24;A ;Unknown;8 Nov 2020 09:20:29;00:00:00.000;00:00:00.000;12413;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
QFN 6X6 IS5 CTD_2;24;C ;Unknown;8 Nov 2020 09:21:34;00:01:05.000;00:00:00.000;12423;10;0;0;0;0;0;0;10;0;N/A;00.00%;
QFN 6X6 IS5 CTD_2;24;C ;Unknown;8 Nov 2020 09:21:34;00:01:05.000;00:00:00.000;12423;10;0;0;0;0;0;0;10;0;N/A;00.00%;
7ICOST19_BGA242_10x_1;25;A ;Unknown;14 Nov 2020 23:53:46;00:00:00.000;00:00:00.000;12423;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_BGA242_10x_1;25;C ;Unknown;14 Nov 2020 23:55:03;00:01:17.000;00:00:00.000;12447;24;0;0;0;0;0;0;24;0;N/A;00.00%;
7ICOST19_BGA242_10x_1;25;C ;Unknown;14 Nov 2020 23:55:03;00:01:17.000;00:00:00.000;12447;24;0;0;0;0;0;0;24;0;N/A;00.00%;
7ICOST19_BGA242_10x_2;26;A ;Unknown;14 Nov 2020 23:57:19;00:00:00.000;00:00:00.000;12447;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_BGA242_10x_2;26;C ;Unknown;14 Nov 2020 23:59:14;00:01:55.000;00:00:00.000;12471;24;0;0;0;0;0;0;24;0;N/A;00.00%;
7ICOST19_BGA242_10x_2;26;C ;Unknown;14 Nov 2020 23:59:14;00:01:55.000;00:00:00.000;12471;24;0;0;0;0;0;0;24;0;N/A;00.00%;
Default;28;C ;TAPE;15 Nov 2020 08:20:20;00:03:39.000;00:03:19.000;12495;0;0;0;0;0;0;0;0;0;0;N/A;
Default;29;C ;TAPE;15 Nov 2020 09:19:04;00:08:15.000;00:03:29.000;12495;0;0;0;0;0;0;0;0;0;0;N/A;
Default;30;C ;TAPE;15 Nov 2020 14:08:02;00:03:32.000;00:00:00.000;12495;0;0;0;0;0;0;0;0;0;N/A;N/A;
7ICOST19_DSMBGA802_10x_1;31;A ;Unknown;15 Nov 2020 14:09:44;00:00:00.000;00:00:00.000;12495;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_DSMBGA802_10x_1;31;C ;Unknown;15 Nov 2020 14:11:37;00:01:53.000;00:00:00.000;12547;52;0;0;0;0;0;0;52;0;N/A;00.00%;
7ICOST19_DSMBGA802_10x_1;31;C ;Unknown;15 Nov 2020 14:11:37;00:01:53.000;00:00:00.000;12547;52;0;0;0;0;0;0;52;0;N/A;00.00%;
7ICOST19_DSMBGA802_10x_2;32;A ;Unknown;15 Nov 2020 14:25:33;00:00:00.000;00:00:00.000;12547;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_DSMBGA802_10x_2;32;C ;Unknown;15 Nov 2020 14:27:20;00:01:47.000;00:00:00.000;12599;52;0;0;0;0;0;0;52;0;N/A;00.00%;
7ICOST19_DSMBGA802_10x_2;32;C ;Unknown;15 Nov 2020 14:27:20;00:01:47.000;00:00:00.000;12599;52;0;0;0;0;0;0;52;0;N/A;00.00%;
7ICOST19_DSMBGA802_10x_3;33;A ;Unknown;15 Nov 2020 14:53:20;00:00:00.000;00:00:00.000;12599;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_DSMBGA802_10x_3;33;C ;Unknown;15 Nov 2020 14:55:04;00:01:44.000;00:00:00.000;12651;52;0;0;0;0;0;0;52;0;N/A;00.00%;
7ICOST19_DSMBGA802_10x_3;33;C ;Unknown;15 Nov 2020 14:55:04;00:01:44.000;00:00:00.000;12651;52;0;0;0;0;0;0;52;0;N/A;00.00%;
